NAICS,NAICS_SDESC,GEN_VAL_MO,DUT_VAL_MO,CAL_DUT_MO,GEN_CHA_MO,CON_VAL_MO,AIR_CHA_MO,AIR_VAL_MO,CNT_CHA_MO,CNT_VAL_MO,VES_CHA_MO,VES_VAL_MO,GEN_CIF_MO
339,MISCELLANEOUS MANUFACTURED COMMODITIES,15926.629922,3420.330771,185.080444,341.317605,16443.100743,261.421324,15123.034791,77.971251,737.75463,79.409854,764.270276,16267.947527
325,CHEMICALS,14890.68295,4858.132255,252.618711,603.517788,14980.003555,178.841393,4030.26591,413.779727,9900.220183,422.92154899999997,10071.395465,15494.200738
315,APPAREL & ACCESSORIES,5598.583023,5586.428809,782.404816,281.24068,5602.298451,102.157922,970.430096,174.793103,4526.810073,178.123565,4580.704047,5879.823703
333,"MACHINERY, EXCEPT ELECTRICAL",5294.77588,1303.800445,38.598131,317.571458,5201.818141,42.516238,570.327889,252.60573,3971.920676,272.757957,4614.205025,5612.3473380000005
314,TEXTILE MILL PRODUCTS,4537.715617,3876.344921,276.241446,429.046423,4538.485485,20.171102,130.864031,402.77597,4325.684955,407.83335900000003,4382.144308,4966.76204
332,"FABRICATED METAL PRODUCTS, NESOI",3631.414457,2281.8244250000002,95.480048,364.484411,3610.990142,30.839192,292.175773,311.386338,3016.226014,330.98405,3282.59727,3995.8988679999998
324,PETROLEUM & COAL PRODUCTS,3496.86846,3471.091692,4.978223,138.576354,3569.3093949999998,0.0055260000000000005,0.027322,3.858753,18.987588,138.570751,3496.824213,3635.444814
334,COMPUTER & ELECTRONIC PRODUCTS,3417.348015,111.049228,3.366069,100.485511,3403.9555,57.072231,2166.828254,42.841283,1181.242336,43.104936,1208.700656,3517.833526
331,PRIMARY METAL MFG,3005.237302,2023.440794,279.00151900000003,333.324401,2913.348877,4.132948,41.341595,243.10891,1925.159331,328.240064,2946.374905,3338.561703
336,TRANSPORTATION EQUIPMENT,2873.433107,2106.892908,53.436248,207.854863,2885.17346,19.712627,357.60400599999997,163.698721,1949.008348,186.32615,2412.712978,3081.28797
335,"ELECTRICAL EQUIPMENT, APPLIANCES & COMPONENTS",2291.831094,1496.304709,50.014546,132.36263399999999,2228.321839,17.357299,363.52806400000003,111.679137,1724.747671,114.359925,1868.24441,2424.193728
112,LIVESTOCK & LIVESTOCK PRODUCTS,2150.285613,182.123625,1.195754,193.683584,2146.84261,0.032125,0.088779,192.836245,2140.987297,193.306164,2144.894542,2343.969197
311,FOOD & KINDRED PRODUCTS,2019.540934,1076.403109,40.823144,259.417794,2023.074916,3.314235,43.153361,249.479552,1833.584341,254.659173,1958.187873,2278.958728
326,PLASTICS & RUBBER PRODUCTS,1901.898211,1356.096296,52.35112,264.78117100000003,1896.941449,8.620415,40.799652,252.121265,1794.951964,253.231653,1809.058732,2166.679382
327,NONMETALLIC MINERAL PRODUCTS,1562.330289,838.238377,46.079642,377.450493,1549.7251019999999,4.249302,26.389175,371.511732,1505.968186,372.727922,1523.400551,1939.780782
316,LEATHER & ALLIED PRODUCTS,1297.274786,1241.674164,111.156031,85.6933,1288.024524,17.031025,141.424526,67.450558,1132.420822,68.48516599999999,1148.4256560000001,1382.968086
313,TEXTILES & FABRICS,1178.746983,728.004973,59.090029,123.38493,1178.41056,5.495654,50.047904,116.40447,1099.541681,117.571031,1112.503667,1302.131913
337,FURNITURE & FIXTURES,948.4211300000001,59.712854,3.781662,164.863369,947.968778,2.209438,25.998931,161.395242,908.881735,161.823619,911.731657,1113.2844989999999
114,"FISH, FRESH/CHILLED/FROZEN & OTHER MARINE PRODUCTS",719.317182,1.528028,0.081438,49.230399,718.667997,0.135165,0.34816,48.990073,717.642713,49.080897,718.659511,768.547581
980,GOODS RETURNED (EXPORTS FOR CANADA ONLY),691.715275,7.815824,0.0,7.475362,704.838668,5.5417060000000005,566.600307,1.544381,82.723804,1.643858,87.623853,699.190637
322,PAPER,445.742892,104.49163,6.049715,60.125749,445.846719,2.446337,12.873359,57.432806,428.513925,57.603564,429.785767,505.868641
111,AGRICULTURAL PRODUCTS,394.087549,95.212175,1.6782299999999999,50.477445,394.385014,7.301834,49.314641,42.547108,333.45971000000003,42.693879,335.091769,444.564994
990,OTHER SPECIAL CLASSIFICATION PROVISIONS,384.234432,370.22953,0.001266,1.6274520000000001,384.234432,0.287037,1.679271,1.183139,10.049312,1.232078,10.226589,385.86188400000003
321,WOOD PRODUCTS,338.373903,313.703386,10.650159,35.900004,337.73493,0.468519,3.532696,34.752687,312.805967,35.138089,315.87189,374.273907
113,"FORESTRY PRODUCTS, NESOI",329.018551,69.776503,0.707531,8.552345,328.990906,5.4444609999999996,127.242032,2.756538,193.740037,3.0543400000000003,199.330874,337.570896
323,"PRINTED MATTER AND RELATED PRODUCTS, NESOI",161.573435,0.115838,0.004809,23.708122,160.648715,2.606589,20.924834,20.685586999999998,136.786149,20.991201,139.683292,185.281557
930,USED OR SECOND-HAND MERCHANDISE,59.954918,4.562105,0.120392,0.814434,59.954918,0.499653,50.323828999999996,0.291083,4.02552,0.302456,4.624721,60.769352000000005
212,MINERALS & ORES,90.137835,29.016839,0.546999,32.196352,46.109212,0.047172,0.33277999999999996,9.05234,29.855847,31.554679999999998,87.388565,122.334187
910,WASTE AND SCRAP,37.7802,3.608374,0.100995,2.801034,37.7802,0.036093,0.905045,2.748532,36.481127,2.75119,36.633594,40.581234
312,BEVERAGES & TOBACCO PRODUCTS,34.152764,26.137421,0.185808,4.245792,34.181759,1.826583,14.708453,2.379697,18.72503,2.419209,19.444311,38.398556
115,PRODUCTS SUPPORTING AGRICULTURE AND FORESTRY,0.207479,0.207479,0.0031149999999999997,0.019209,0.207479,0.0,0.0,0.019209,0.207479,0.019209,0.207479,0.226688
